,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22
2006-02-28,4.8279825722861996e-05,3.930080613846718e-05,3.327273145637813e-05,0.9,3.0000000000000027,3.37,9.00000000000003,0.005900672020980213,0.0,-4.999999999999982,-4.0000000000000036,-4.0000000000000036,-2.0000000000000018,-2.0000000000000018,-0.14,-0.07,-4.000000000000001,0.9999999999999981,0.06471095772217428,0.00548060708263054,-0.0012934379580926691,0.007467401918547889,-6.217358865956424e-05
2006-03-01,5.133218763111684e-05,3.622341121803865e-05,3.656866608936351e-05,0.88,-2.0000000000000018,3.33,-4.0000000000000036,0.010428548150562156,-1.9999999999999574,1.9999999999999574,4.0000000000000036,4.999999999999982,2.9999999999999805,4.0000000000000036,-0.12,-0.01,6.000000000000001,2.0000000000000018,-0.06482982171799034,-0.0021802935010482027,0.0031082714557073565,-0.0037630423627343923,-0.0003108872722750178
2006-03-02,4.841536518002443e-05,3.627540985276507e-05,3.584066957221307e-05,0.87,-1.0000000000000009,3.32,-1.000000000000023,0.021770682148040565,0.9999999999999787,4.999999999999982,4.999999999999982,6.00000000000005,3.000000000000025,2.0000000000000018,-0.08,0.02,3.0,3.9999999999999996,0.015597920277296451,0.008740230271451432,-0.0009468066792909235,0.0011446231328335887,4.975743251667275e-05
2006-03-03,4.8494606839535125e-05,3.11155776011184e-05,3.586893713712459e-05,0.87,0.0,3.29,-2.9999999999999805,0.003945707070706961,0.0,3.000000000000025,4.0000000000000036,4.0000000000000036,1.9999999999999574,2.0000000000000018,-0.08,0.06,3.9999999999999996,0.0,0.020477815699658786,0.0020828126301759564,0.003360041354355081,0.0021722974904248016,-0.00017414234893153857
2006-03-06,4.9995230400945845e-05,3.571146962555689e-05,3.414107789886476e-05,0.87,0.0,3.26,-3.000000000000025,-0.018078918409055178,-0.9999999999999787,4.999999999999982,6.00000000000005,5.999999999999961,-2.9999999999999805,-0.9999999999999787,-0.03,0.14,8.000000000000002,5.0,0.06521739130434767,-0.002161622879946923,0.008586639189421152,-0.002224630654269588,2.4881811395705e-05
2006-03-07,3.060286267098349e-05,3.510015386073184e-05,3.2746933855638646e-05,0.88,1.0000000000000009,3.3,4.0000000000000036,-0.015209734229907235,0.0,0.0,0.0,0.0,-2.0000000000000018,-2.0000000000000018,-0.03,0.14,0.0,0.0,-0.006279434850863463,-0.009498416930511455,0.0025540609569216777,-0.007431968900068697,0.0005349456345948855
2006-03-08,1.0337866444677935e-05,2.828989835230205e-05,3.286124364228391e-05,0.88,0.0,3.31,1.000000000000023,-0.02357340269874808,-2.000000000000046,-0.9999999999999787,-0.9999999999999787,0.0,-4.999999999999982,-5.000000000000027,0.01,0.15,0.9999999999999981,4.0,-0.026856240126382325,0.0021870794078060474,0.0011888586956521063,-0.0001727911530929882,0.0006341311781161707
2006-03-09,1.1877985946835745e-05,2.9071613905928947e-05,3.0584617721527274e-05,0.88,0.0,3.32,0.9999999999999787,0.007492507492507405,1.0000000000000675,0.0,0.9999999999999787,0.0,0.0,1.000000000000023,0.02,0.14,-0.9999999999999981,1.0,0.02922077922077926,0.0005036091992614011,0.0005089058524172518,0.00040324903508270893,4.970425965522551e-05
2006-03-10,3.204373944314002e-05,3.588490383307097e-05,2.9533212770632286e-05,0.88,0.0,3.3,-2.0000000000000018,-0.0099157164105107,1.9999999999999574,1.9999999999999574,1.9999999999999574,2.000000000000046,-4.0000000000000036,-1.000000000000023,0.02,0.14,0.0,0.0,-0.0654574132492114,-0.002852348993288456,0.009409969481180003,-0.006334216284694216,0.00014910536779333405
2006-03-13,2.0945808696766443e-05,3.4680871843236074e-05,2.94000205627231e-05,0.88,0.0,3.27,-2.9999999999999805,0.031714238023702324,0.0,1.0000000000000675,0.9999999999999787,2.999999999999936,-1.000000000000023,0.0,0.03,0.16,1.9999999999999991,0.9999999999999999,-0.040506329113924044,0.004711425206124664,-0.0005039052658099008,0.0031293463143255984,0.00016150673358827916
2006-03-14,3.3915929695548414e-05,3.337211413653276e-05,3.3725649314286623e-05,0.88,0.0,3.34,6.999999999999984,0.01941433425012118,-1.9999999999999574,-10.000000000000053,-5.999999999999961,-5.999999999999961,0.0,1.000000000000023,0.05,0.12,-4.000000000000001,2.0000000000000004,-0.05540897097625319,0.006950259588008656,-0.013864381144441662,0.009763142692085447,-0.00039749083907825167
2006-03-15,3.3411030264911754e-05,2.880896393156949e-05,3.310577059223873e-05,0.87,-1.0000000000000009,3.29,-4.999999999999982,-0.01428344707189333,2.999999999999936,1.0000000000000675,2.000000000000046,4.0000000000000036,1.000000000000023,0.9999999999999787,0.04,0.1,-1.9999999999999991,-1.0000000000000002,0.056797020484171235,0.0016632016632016633,-0.0005112474437628522,-0.001087018708164078,-0.0012302262870776959
2006-03-16,1.3303565200059967e-05,2.803982205167481e-05,2.9312878806398275e-05,0.88,1.0000000000000009,3.34,4.999999999999982,0.021735630333279632,-0.9999999999999787,-9.000000000000075,-8.000000000000007,-4.999999999999982,0.0,-2.0000000000000018,0.03,0.03,-7.000000000000001,-1.0000000000000002,0.05550660792951545,0.00880033208800346,-0.0014492753623188692,0.005269186712485663,0.0001368601786648771
2006-03-17,1.3973469064265927e-05,2.7111793570411256e-05,2.9023757873155427e-05,0.88,0.0,3.31,-2.9999999999999805,-0.01024267254963751,1.9999999999999574,2.000000000000046,2.999999999999936,1.9999999999999574,0.0,-0.9999999999999787,0.03,0.04,1.0000000000000002,0.0,0.011686143572620988,0.0037856966504814515,-0.010586527789635425,0.0008546034639926869,-0.001231573054674362
2006-03-20,2.0390675786306912e-05,1.9873085325749742e-05,2.7198607144118102e-05,0.88,0.0,3.3,-1.000000000000023,-0.03980257920713259,3.000000000000025,-0.9999999999999787,-1.9999999999999574,-1.9999999999999574,-2.0000000000000018,-1.000000000000023,0.01,0.0,-4.0,-1.9999999999999998,-0.027227722772277252,-0.0023776338443879386,0.0031063939943050123,-0.00022769966414293297,-0.00044839698079368606
2006-03-21,1.5616941002371874e-05,2.524276470513617e-05,2.908139741953965e-05,0.88,0.0,3.21,-8.999999999999986,0.0016580998176090045,2.000000000000046,6.99999999999994,4.999999999999982,4.0000000000000036,-3.000000000000025,-2.9999999999999805,-0.01,0.02,2.0,-2.0,-0.014418999151823542,-0.007314266929651647,0.00843010752688178,-0.005921539600296066,0.00027414330218067384
2006-03-22,1.9995857926220582e-05,2.7152500423077705e-05,2.9798442948285037e-05,0.88,0.0,3.2,-0.9999999999999787,-0.006290349279920449,0.0,1.0000000000000675,-0.9999999999999787,-0.9999999999999787,-0.9999999999999787,-0.9999999999999787,-0.04,0.01,-1.0,-3.0,-0.03528399311531827,0.0013246129646493632,-0.004350422246865215,0.0013746491780743941,0.00042355989635223246
2006-03-23,2.062107732498332e-05,2.4129789867269114e-05,2.7898935122988595e-05,0.88,0.0,3.18,-2.0000000000000018,0.03498250874562725,-2.000000000000046,4.0000000000000036,3.000000000000025,1.9999999999999574,2.0000000000000018,2.0000000000000018,-0.04,0.06,5.0,0.0,-0.003568242640499597,-0.009177346010748377,0.007539410555174708,-0.006635016873534294,-0.00039847582995045094
